UserId,LoginCount,TotalTimeSpent,TotalSecondsSpent,ActivitiesCount,MeanLoginTime
115,14,0 days 07:14:37,26077.0,578.0,2 days 18:26:20.714285
116,2,0 days 00:09:07,547.0,15.0,4 days 11:28:58.500000
117,0,0,0.0,0.0,0
118,19,0 days 06:55:01,24901.0,361.0,2 days 01:34:14
119,2,0 days 01:03:03,3783.0,33.0,2 days 21:21:51.500000
120,2,0 days 00:31:16,1876.0,27.0,19 days 14:13:25
121,3,0 days 03:20:04,12004.0,163.0,7 days 15:52:11
122,0,0,0.0,0.0,0
123,14,0 days 08:03:20,29000.0,361.0,2 days 14:41:15.928571
124,0,0.0,0.0,0.0,
125,2,0 days 01:05:07,3907.0,34.0,2 days 11:21:35
126,10,0 days 07:30:41,27041.0,275.0,3 days 19:43:00.800000
127,4,0 days 00:34:05,2045.0,130.0,9 days 17:16:34.750000
128,0,0.0,0.0,0.0,
129,2,0 days 00:08:36,516.0,25.0,2 days 19:24:52.500000
130,3,0 days 02:49:59,10199.0,125.0,12 days 16:35:54
131,9,0 days 03:28:01,12481.0,208.0,1 days 00:03:18.111111
132,8,0 days 03:30:16,12616.0,266.0,4 days 16:08:01.375000
133,18,0 days 02:13:25,8005.0,531.0,1 days 20:49:41.666666
134,0,0.0,0.0,0.0,
135,9,0 days 03:16:16,11776.0,191.0,4 days 13:38:53.777777
136,0,0,0.0,0.0,0
137,2,0 days 01:15:11,4511.0,88.0,3 days 01:26:14
138,8,0 days 04:45:03,17103.0,298.0,5 days 02:37:28.625000
139,1,0 days 00:02:15,135.0,6.0,3 days 16:10:19
140,3,0 days 00:48:28,2908.0,72.0,3 days 08:16:03
141,4,0 days 02:23:31,8611.0,262.0,4 days 00:36:15.250000
142,0,0,0.0,0.0,0
143,16,0 days 03:29:24,12564.0,666.0,2 days 06:28:37.625000
144,5,0 days 02:48:59,10139.0,57.0,0 days 16:57:00.400000
145,12,0 days 11:41:32,42092.0,532.0,2 days 20:23:08.666666
146,11,0 days 06:20:09,22809.0,177.0,3 days 06:23:36.727272
147,14,0 days 03:28:51,12531.0,277.0,2 days 15:29:30.785714
148,6,0 days 07:43:37,27817.0,168.0,1 days 18:37:02.833333
149,4,0 days 03:05:59,11159.0,87.0,8 days 18:34:31.500000
150,1,0 days 00:16:39,999.0,8.0,1 days 13:11:12
151,1,0 days 02:07:15,7635.0,29.0,24 days 22:39:29
152,7,0 days 00:18:51,1131.0,45.0,0 days 14:26:29.428571
153,4,0 days 01:07:40,4060.0,82.0,1 days 06:25:52.250000
154,0,0,0.0,0.0,0
155,0,0.0,0.0,0.0,
156,13,0 days 07:00:31,25231.0,644.0,2 days 18:03:34.384615
157,1,0 days 00:01:41,101.0,7.0,3 days 13:37:28
158,1,0 days 00:00:18,18.0,5.0,7 days 16:39:13
159,4,0 days 00:47:11,2831.0,55.0,9 days 17:27:30
160,1,0 days 01:13:58,4438.0,50.0,6 days 22:05:35
161,3,0 days 04:05:43,14743.0,152.0,10 days 16:25:10
162,0,0.0,0.0,0.0,
163,0,0.0,0.0,0.0,
164,0,0.0,0.0,0.0,
165,45,0 days 10:40:27,38427.0,1561.0,0 days 20:35:58.177777
166,4,0 days 00:18:48,1128.0,53.0,5 days 22:54:47.750000
167,8,0 days 06:09:26,22166.0,450.0,4 days 09:12:42.875000
168,5,0 days 01:44:57,6297.0,323.0,3 days 13:02:10
169,1,0 days 00:07:44,464.0,7.0,5 days 17:53:10
170,20,0 days 05:12:27,18747.0,855.0,1 days 23:16:21.650000
171,2,0 days 00:02:40,160.0,15.0,18 days 06:12:39
172,0,0.0,0.0,0.0,
173,0,0,0.0,0.0,0
174,11,14 days 04:12:59,274379.0,1132.0,2 days 22:48:39.454545
175,4,0 days 00:18:36,1116.0,32.0,1 days 01:15:41.750000
176,1,0 days 00:00:17,17.0,5.0,3 days 23:53:18
177,0,0,0.0,0.0,0
178,3,0 days 01:59:01,7141.0,183.0,12 days 15:54:06
179,14,0 days 05:06:11,18371.0,386.0,2 days 09:08:21.214285
180,7,0 days 01:12:03,4323.0,212.0,5 days 02:59:35
181,0,0,0.0,0.0,0
182,4,0 days 03:16:24,11784.0,91.0,10 days 00:26:35.750000
183,0,0,0.0,0.0,0
184,2,0 days 01:18:37,4717.0,261.0,10 days 18:00:53
185,6,0 days 03:20:30,12030.0,338.0,4 days 20:47:35.833333
186,4,0 days 01:22:16,4936.0,86.0,6 days 12:34:55.750000
187,0,0,0.0,0.0,0
188,3,0 days 00:38:56,2336.0,69.0,1 days 16:17:45
189,3,0 days 04:19:33,15573.0,169.0,12 days 17:43:25.333333
190,25,0 days 10:57:01,39421.0,776.0,1 days 13:38:26
191,0,0,0.0,0.0,0
192,0,0,0.0,0.0,0
193,3,0 days 01:26:19,5179.0,49.0,1 days 10:27:51.666666
194,2,0 days 00:32:37,1957.0,63.0,17 days 23:20:07.500000
195,0,0,0.0,0.0,0
196,0,0,0.0,0.0,0
197,0,0,0.0,0.0,0
198,0,0.0,0.0,0.0,
199,4,0 days 00:14:27,867.0,33.0,1 days 15:14:59
200,0,0,0.0,0.0,0
201,20,0 days 05:06:22,18382.0,321.0,0 days 15:19:20
202,2,0 days 00:00:57,57.0,3.0,2 days 13:38:06.500000
203,3,0 days 00:50:41,3041.0,51.0,10 days 23:00:04
